,Team,Sport,Event,Medal,Age,Height,Weight,Cluster
28947,Finland,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Silver,29.0,176.0,74.0,4
28948,Finland,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold,33.0,176.0,74.0,1
28949,Finland,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold,33.0,176.0,74.0,1
28950,West Germany,Shooting,Shooting Mixed Skeet,Bronze,31.0,181.0,84.0,7
28951,West Germany,Shooting,Shooting Mixed Skeet,Gold,35.0,181.0,84.0,1
28952,Austria,Alpine Skiing,Alpine Skiing Men's Downhill,Silver,21.0,180.0,77.0,4
28953,United States,Freestyle Skiing,Freestyle Skiing Men's Halfpipe,Gold,23.0,183.0,84.0,2
28954,Sweden,Handball,Handball Men's Handball,Silver,28.0,194.0,94.0,4
28955,Sweden,Handball,Handball Men's Handball,Silver,32.0,194.0,94.0,4
28956,Sweden,Handball,Handball Men's Handball,Silver,36.0,194.0,94.0,4
28957,Switzerland,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver,22.0,184.0,79.0,4
28958,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,23.0,178.0,79.0,2
28959,Poland,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,26.0,185.0,87.0,7
28960,East Germany,Athletics,Athletics Women's High Jump,Gold,24.0,179.0,72.0,1
28961,East Germany,Figure Skating,Figure Skating Women's Singles,Gold,18.0,165.0,55.0,1
28962,East Germany,Figure Skating,Figure Skating Women's Singles,Gold,22.0,165.0,55.0,1
28963,Germany,Hockey,Hockey Men's Hockey,Gold,24.0,180.0,80.0,1
28964,Netherlands,Sailing,Sailing Women's Three Person Keelboat,Silver,23.0,174.0,64.0,4
28965,Germany,Hockey,Hockey Men's Hockey,Bronze,21.0,172.0,70.0,7
28966,Germany,Hockey,Hockey Men's Hockey,Gold,25.0,172.0,70.0,1
28967,Germany,Hockey,Hockey Men's Hockey,Gold,29.0,172.0,70.0,1
28968,United States,Speed Skating,"Speed Skating Women's 1,000 metres",Silver,22.0,167.0,66.0,0
28969,United States,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze,22.0,167.0,66.0,7
28970,United States,Speed Skating,"Speed Skating Women's 1,000 metres",Gold,26.0,167.0,66.0,2
28971,Hungary,Swimming,Swimming Men's 200 metres Backstroke,Gold,17.0,184.0,78.0,1
28972,Poland,Athletics,Athletics Women's Hammer Throw,Silver,26.0,178.0,95.0,4
28973,Poland,Athletics,Athletics Women's Hammer Throw,Gold,30.0,178.0,95.0,1
28974,Poland,Cycling,"Cycling Women's Mountainbike, Cross-Country",Silver,24.0,170.0,54.0,4
28975,Poland,Cycling,"Cycling Women's Mountainbike, Cross-Country",Silver,32.0,170.0,54.0,4
28976,East Germany,Athletics,Athletics Women's 800 metres,Gold,22.0,166.0,54.0,1
28977,Germany,Athletics,Athletics Men's Shot Put,Gold,25.0,178.0,105.0,1
28978,United States,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,23.0,173.0,70.0,0
28979,United States,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,27.0,173.0,70.0,0
28980,United States,Athletics,Athletics Men's 800 metres,Bronze,27.0,175.0,60.0,8
28981,East Germany,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,26.0,186.0,87.0,7
28982,East Germany,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,26.0,186.0,87.0,7
28983,Germany,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,30.0,186.0,87.0,1
28984,East Germany,Swimming,Swimming Men's 100 metres Freestyle,Gold,17.0,194.0,80.0,1
28985,East Germany,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,17.0,194.0,80.0,0
28986,Poland,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze,30.0,170.0,62.0,7
28987,Poland,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Silver,34.0,170.0,62.0,4
28988,Poland,Handball,Handball Men's Handball,Bronze,25.0,188.0,87.0,3
28989,Poland,Swimming,Swimming Men's 400 metres Freestyle,Bronze,20.0,194.0,86.0,8
28990,Poland,Volleyball,Volleyball Men's Volleyball,Gold,22.0,197.0,97.0,1
28991,Norway,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver,22.0,172.0,57.0,4
28992,Norway,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Silver,28.0,172.0,57.0,4
28993,Norway,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver,32.0,172.0,57.0,4
