,Team,Sport,Event,Medal,Age,Height,Weight
11177,Czechoslovakia,Rowing,Rowing Men's Coxed Fours,Bronze,26.0,192.0,89.0
11178,Hungary,Fencing,"Fencing Women's Foil, Team",Bronze,24.0,172.0,58.0
11179,Czechoslovakia,Rowing,Rowing Men's Coxed Eights,Bronze,22.0,182.0,83.0
11180,Czechoslovakia,Rowing,Rowing Men's Coxed Eights,Bronze,27.0,182.0,83.0
11181,Slovenia,Rowing,Rowing Men's Coxless Fours,Bronze,26.0,190.0,90.0
11182,United States,Speed Skating,"Speed Skating Men's 1,000 metres",Gold,28.0,183.0,88.0
11183,Netherlands,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver,23.0,174.0,74.0
11184,West Germany,Football,Football Men's Football,Bronze,21.0,177.0,70.0
11185,Netherlands,Hockey,Hockey Men's Hockey,Bronze,24.0,175.0,86.0
11186,Netherlands,Hockey,Hockey Men's Hockey,Gold,32.0,175.0,86.0
11187,Netherlands,Hockey,Hockey Men's Hockey,Gold,36.0,175.0,86.0
11188,Germany,Handball,Handball Men's Handball,Silver,27.0,185.0,89.0
11189,Bluebottle,Sailing,Sailing Mixed Three Person Keelboat,Bronze,26.0,190.0,95.0
11190,Norway,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver,24.0,185.0,83.0
11191,Norway,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze,28.0,185.0,83.0
11192,Norway,Alpine Skiing,Alpine Skiing Men's Super G,Gold,28.0,185.0,83.0
11193,Netherlands,Rowing,Rowing Women's Quadruple Sculls,Silver,27.0,182.0,74.0
11194,Sweden,Athletics,Athletics Men's Triple Jump,Silver,23.0,187.0,80.0
11195,Sweden,Athletics,Athletics Men's Marathon,Bronze,30.0,178.0,67.0
11196,Sweden,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,18.0,172.0,67.0
11197,Sweden,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver,22.0,172.0,67.0
11198,Sweden,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,24.0,177.0,87.0
11199,Czech Republic,Shooting,"Shooting Men's Running Target, 10 metres",Bronze,23.0,183.0,80.0
11200,France,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,19.0,187.0,107.0
11201,France,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,23.0,187.0,107.0
11202,East Germany,Gymnastics,Gymnastics Women's Team All-Around,Bronze,16.0,156.0,46.0
11203,East Germany,Gymnastics,Gymnastics Women's Uneven Bars,Silver,16.0,156.0,46.0
11204,East Germany,Gymnastics,Gymnastics Women's Individual All-Around,Silver,20.0,156.0,46.0
11205,East Germany,Gymnastics,Gymnastics Women's Team All-Around,Silver,20.0,156.0,46.0
11206,East Germany,Gymnastics,Gymnastics Women's Horse Vault,Gold,20.0,156.0,46.0
11207,East Germany,Gymnastics,Gymnastics Women's Uneven Bars,Gold,20.0,156.0,46.0
11208,East Germany,Gymnastics,Gymnastics Women's Balance Beam,Bronze,20.0,156.0,46.0
11209,Brazil,Volleyball,Volleyball Women's Volleyball,Gold,24.0,186.0,71.0
11210,Brazil,Volleyball,Volleyball Women's Volleyball,Gold,28.0,186.0,71.0
11211,Yugoslavia,Handball,Handball Men's Handball,Bronze,25.0,190.0,81.0
11212,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,25.0,178.0,70.0
11213,Canada,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,16.0,179.0,77.0
11214,Canada,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,16.0,179.0,77.0
11215,Great Britain,Sailing,Sailing Mixed 5.5 metres,Bronze,35.0,175.0,62.0
11216,Poland,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,27.0,182.0,75.0
11217,Thailand,Weightlifting,Weightlifting Women's Featherweight,Gold,24.0,157.0,54.0
11218,Australia,Basketball,Basketball Women's Basketball,Bronze,20.0,186.0,77.0
11219,Sweden,Tennis,Tennis Men's Doubles,Bronze,27.0,180.0,70.0
11220,Finland,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,22.0,187.0,91.0
11221,Finland,Sailing,Sailing Mixed Skiff,Gold,34.0,188.0,78.0
11222,Finland,Athletics,Athletics Men's Decathlon,Silver,22.0,187.0,86.0
11223,Finland,Athletics,Athletics Men's Decathlon,Silver,26.0,187.0,86.0
11224,Finland,Athletics,Athletics Men's Javelin Throw,Gold,23.0,186.0,76.0
11225,Finland,Athletics,Athletics Men's Discus Throw,Bronze,36.0,182.0,95.0
11226,Finland,Athletics,"Athletics Men's Discus Throw, Greek Style",Gold,36.0,182.0,95.0
11227,Finland,Athletics,"Athletics Men's Discus Throw, Greek Style",Bronze,38.0,182.0,95.0
11228,United States,Athletics,Athletics Men's 100 metres,Gold,21.0,167.0,58.0
11229,Czechoslovakia,Handball,Handball Men's Handball,Silver,25.0,183.0,79.0
11230,East Germany,Diving,Diving Women's Platform,Gold,20.0,162.0,54.0
11231,Lithuania,Basketball,Basketball Men's Basketball,Bronze,24.0,193.0,92.0
11232,Germany,Athletics,Athletics Men's Discus Throw,Bronze,26.0,207.0,120.0
11233,Poland,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver,26.0,183.0,77.0
11234,United States,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze,29.0,162.0,58.0
11235,United States,Rowing,Rowing Men's Coxed Eights,Gold,22.0,184.0,84.0
11236,United States,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,23.0,175.0,80.0
11237,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,27.0,175.0,80.0
11238,Brazil,Basketball,Basketball Men's Basketball,Bronze,21.0,186.0,85.0
11239,Brazil,Basketball,Basketball Men's Basketball,Bronze,25.0,186.0,85.0
11240,United States,Rowing,Rowing Men's Coxed Eights,Silver,36.0,159.0,49.0
11241,Finland,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold,32.0,174.0,68.0
11242,East Germany,Handball,Handball Men's Handball,Gold,28.0,185.0,81.0
11243,Soviet Union,Athletics,Athletics Women's Javelin Throw,Gold,24.0,169.0,70.0
11244,France,Rugby,Rugby Men's Rugby,Silver,26.0,183.0,78.0
11245,Iran,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze,29.0,160.0,54.0
11246,Armenia,Boxing,Boxing Men's Lightweight,Bronze,24.0,178.0,63.0
11247,Great Britain,Fencing,"Fencing Men's epee, Individual",Silver,29.0,175.0,80.0
11248,Great Britain,Fencing,"Fencing Men's epee, Team",Silver,29.0,175.0,80.0
11249,France,Biathlon,Biathlon Men's 10 kilometres Sprint,Gold,24.0,182.0,73.0
11250,France,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Bronze,24.0,182.0,73.0
11251,Sri Lanka,Athletics,Athletics Women's 200 metres,Silver,24.0,168.0,62.0
11252,Brazil,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,20.0,190.0,90.0
11253,United States,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,27.0,185.0,75.0
11254,Netherlands,Hockey,Hockey Men's Hockey,Gold,25.0,196.0,86.0
11255,Netherlands,Hockey,Hockey Men's Hockey,Gold,29.0,196.0,86.0
11256,Netherlands,Hockey,Hockey Men's Hockey,Silver,33.0,196.0,86.0
11257,France,Athletics,"Athletics Men's 1,500 metres",Silver,24.0,175.0,65.0
11258,Poland,Football,Football Men's Football,Silver,21.0,178.0,78.0
11259,Canada,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold,25.0,188.0,83.0
11260,United States,Basketball,Basketball Men's Basketball,Gold,24.0,190.0,86.0
11261,France,Fencing,"Fencing Men's epee, Team",Gold,23.0,193.0,85.0
11262,France,Fencing,"Fencing Men's epee, Individual",Silver,27.0,193.0,85.0
11263,France,Fencing,"Fencing Men's epee, Team",Gold,27.0,193.0,85.0
11264,France,Fencing,"Fencing Men's epee, Team",Gold,27.0,190.0,85.0
11265,France,Fencing,"Fencing Men's epee, Team",Gold,31.0,190.0,85.0
11266,France,Football,Football Men's Football,Gold,25.0,184.0,73.0
11267,Bahrain,Athletics,"Athletics Women's 3,000 metres Steeplechase",Gold,19.0,162.0,51.0
11268,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,18.0,186.0,73.0
11269,Poland,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver,24.0,192.0,92.0
11270,Poland,Swimming,Swimming Women's 400 metres Freestyle,Silver,20.0,187.0,73.0
11271,Poland,Swimming,Swimming Women's 100 metres Butterfly,Silver,20.0,187.0,73.0
