,Age,Height,Weight,Cluster
561,33.0,182.0,77.0,2
562,22.0,193.0,78.0,1
563,24.0,174.0,68.0,2
564,25.0,186.0,84.0,1
565,21.0,192.0,88.0,1
566,21.0,192.0,88.0,1
567,25.0,192.0,88.0,1
568,17.0,175.0,64.0,3
569,17.0,175.0,64.0,3
570,21.0,175.0,64.0,5
571,21.0,175.0,64.0,5
572,21.0,175.0,64.0,5
573,19.0,170.0,62.0,3
574,33.0,178.0,61.0,2
575,19.0,167.0,53.0,3
576,19.0,167.0,53.0,3
577,23.0,167.0,53.0,8
578,23.0,167.0,53.0,8
579,27.0,167.0,53.0,0
580,31.0,167.0,53.0,0
581,21.0,180.0,70.0,5
582,25.0,191.0,84.0,1
583,29.0,191.0,84.0,4
584,33.0,191.0,84.0,4
585,29.0,178.0,68.0,2
586,22.0,179.0,72.0,5
587,22.0,179.0,72.0,5
588,23.0,173.0,65.0,8
589,23.0,173.0,65.0,8
590,20.0,183.0,75.0,5
591,20.0,183.0,75.0,5
592,20.0,183.0,75.0,5
593,20.0,183.0,75.0,5
594,24.0,183.0,75.0,5
595,19.0,183.0,87.0,5
596,23.0,183.0,87.0,5
597,26.0,162.0,67.0,8
598,24.0,190.0,88.0,1
599,28.0,190.0,88.0,4
600,24.0,187.0,77.0,5
601,22.0,172.0,61.0,8
602,28.0,180.0,72.0,2
603,28.0,180.0,72.0,2
604,28.0,180.0,72.0,2
605,33.0,180.0,72.0,2
606,24.0,185.0,81.0,5
607,21.0,193.0,87.0,1
608,17.0,176.0,82.0,5
609,21.0,176.0,82.0,5
610,25.0,176.0,82.0,2
611,28.0,182.0,95.0,4
612,17.0,180.0,82.0,5
613,21.0,180.0,82.0,5
614,25.0,180.0,82.0,2
615,22.0,181.0,80.0,5
616,22.0,181.0,80.0,5
617,22.0,181.0,80.0,5
618,26.0,181.0,80.0,2
619,26.0,181.0,80.0,2
620,26.0,181.0,80.0,2
621,16.0,167.0,43.0,6
622,31.0,175.0,70.0,2
623,23.0,181.0,84.0,5
624,27.0,181.0,84.0,2
625,24.0,180.0,100.0,1
626,24.0,176.0,70.0,2
627,24.0,176.0,70.0,2
628,30.0,164.0,59.0,0
629,25.0,198.0,89.0,1
630,34.0,180.0,94.0,4
631,23.0,173.0,61.0,8
632,21.0,172.0,63.0,8
633,21.0,172.0,63.0,8
634,24.0,171.0,60.0,8
635,23.0,167.0,65.0,8
636,23.0,167.0,65.0,8
637,27.0,167.0,65.0,8
638,29.0,180.0,72.0,2
639,29.0,180.0,72.0,2
640,27.0,182.0,96.0,4
641,27.0,182.0,96.0,4
642,19.0,163.0,53.0,3
643,32.0,180.0,70.0,2
644,31.0,186.0,115.0,4
645,20.0,176.0,68.0,5
646,20.0,176.0,68.0,5
647,24.0,176.0,68.0,2
648,28.0,176.0,68.0,2
649,21.0,183.0,72.0,5
650,25.0,183.0,72.0,2
651,26.0,174.0,68.0,2
652,19.0,187.0,81.0,5
653,22.0,172.0,70.0,5
654,26.0,184.0,73.0,2
655,26.0,184.0,73.0,2
656,21.0,183.0,84.0,5
657,21.0,183.0,84.0,5
658,27.0,183.0,84.0,2
659,27.0,183.0,84.0,2
660,31.0,183.0,84.0,4
661,31.0,183.0,84.0,4
662,22.0,183.0,73.0,5
663,20.0,160.0,54.0,6
664,26.0,185.0,75.0,2
665,20.0,159.0,64.0,8
666,20.0,159.0,64.0,8
667,20.0,159.0,64.0,8
668,40.0,188.0,73.0,7
669,18.0,176.0,78.0,5
670,23.0,200.0,88.0,1
671,24.0,177.0,71.0,2
672,15.0,177.0,64.0,3
673,15.0,177.0,64.0,3
674,19.0,177.0,64.0,3
675,19.0,177.0,64.0,3
676,19.0,177.0,64.0,3
677,24.0,174.0,68.0,2
678,34.0,164.0,52.0,0
679,38.0,164.0,52.0,0
680,22.0,162.0,50.0,8
681,23.0,198.0,93.0,1
682,21.0,180.0,70.0,5
683,26.0,164.0,51.0,8
684,20.0,188.0,77.0,5
685,28.0,188.0,77.0,2
686,22.0,168.0,68.0,8
687,23.0,180.0,68.0,5
688,27.0,180.0,68.0,2
689,31.0,180.0,68.0,2
690,35.0,180.0,68.0,7
691,21.0,168.0,62.0,8
692,24.0,180.0,59.0,2
693,31.0,178.0,85.0,2
694,26.0,178.0,61.0,2
695,26.0,178.0,61.0,2
696,25.0,179.0,68.0,2
697,25.0,160.0,57.0,8
698,27.0,173.0,74.0,2
699,27.0,180.0,79.0,2
700,28.0,168.0,67.0,2
701,32.0,168.0,67.0,0
702,33.0,180.0,76.0,2
703,28.0,172.0,72.0,2
704,16.0,178.0,69.0,3
705,19.0,178.0,69.0,5
706,23.0,165.0,54.0,8
707,18.0,172.0,63.0,3
708,22.0,172.0,63.0,8
709,19.0,157.0,52.0,6
710,22.0,182.0,75.0,5
711,24.0,170.0,59.0,8
712,17.0,150.0,64.0,6
713,20.0,190.0,80.0,5
714,21.0,182.0,77.0,5
715,25.0,182.0,77.0,2
716,20.0,178.0,68.0,5
717,18.0,170.0,58.0,3
718,22.0,148.0,46.0,6
719,22.0,148.0,46.0,6
720,22.0,148.0,46.0,6
721,22.0,148.0,46.0,6
722,26.0,148.0,46.0,6
723,26.0,148.0,46.0,6
724,26.0,148.0,46.0,6
725,23.0,170.0,67.0,8
726,28.0,183.0,68.0,2
727,22.0,180.0,70.0,5
728,23.0,177.0,72.0,5
729,25.0,163.0,65.0,8
730,25.0,163.0,65.0,8
731,27.0,163.0,51.0,0
732,28.0,161.0,60.0,0
733,21.0,189.0,81.0,5
734,21.0,189.0,81.0,5
735,25.0,189.0,81.0,1
736,25.0,189.0,81.0,1
737,20.0,170.0,62.0,3
738,25.0,168.0,56.0,8
739,29.0,168.0,56.0,0
740,14.0,181.0,77.0,3
741,19.0,185.0,80.0,5
742,27.0,175.0,56.0,8
743,31.0,175.0,56.0,0
744,21.0,175.0,67.0,5
745,25.0,175.0,67.0,2
746,16.0,150.0,40.0,6
747,16.0,150.0,40.0,6
748,16.0,150.0,40.0,6
749,16.0,150.0,40.0,6
750,22.0,194.0,125.0,1
751,26.0,194.0,125.0,1
752,24.0,194.0,104.0,1
753,24.0,170.0,62.0,8
754,28.0,170.0,62.0,0
755,20.0,176.0,82.0,5
756,20.0,176.0,82.0,5
757,24.0,176.0,82.0,2
758,24.0,176.0,82.0,2
759,26.0,176.0,82.0,2
760,26.0,176.0,82.0,2
761,30.0,176.0,82.0,2
762,30.0,176.0,82.0,2
763,30.0,176.0,82.0,2
764,34.0,176.0,82.0,7
765,34.0,176.0,82.0,7
766,31.0,190.0,95.0,4
767,23.0,167.0,58.0,8
768,23.0,190.0,74.0,5
769,22.0,160.0,55.0,8
770,22.0,160.0,55.0,8
771,21.0,176.0,67.0,5
772,22.0,171.0,70.0,8
773,22.0,171.0,70.0,8
774,22.0,175.0,65.0,5
775,26.0,175.0,65.0,2
776,18.0,182.0,68.0,5
777,18.0,182.0,68.0,5
778,22.0,179.0,65.0,5
779,21.0,166.0,70.0,8
780,23.0,170.0,61.0,8
781,19.0,158.0,52.0,6
782,22.0,165.0,64.0,8
783,21.0,178.0,73.0,5
784,25.0,178.0,73.0,2
785,25.0,165.0,68.0,8
786,23.0,175.0,64.0,8
787,25.0,169.0,60.0,8
788,28.0,178.0,78.0,2
789,20.0,164.0,50.0,8
790,22.0,186.0,85.0,5
791,26.0,186.0,85.0,1
792,34.0,186.0,85.0,4
793,29.0,208.0,110.0,1
794,28.0,180.0,68.0,2
795,25.0,161.0,62.0,8
796,23.0,163.0,54.0,8
797,18.0,181.0,73.0,5
798,24.0,176.0,75.0,2
799,16.0,168.0,60.0,3
800,25.0,167.0,52.0,8
801,29.0,165.0,54.0,0
802,23.0,174.0,57.0,8
803,27.0,174.0,57.0,8
804,31.0,174.0,57.0,0
805,25.0,188.0,75.0,2
806,41.0,182.0,98.0,7
807,41.0,182.0,98.0,7
808,23.0,183.0,87.0,5
809,25.0,168.0,63.0,8
810,30.0,168.0,63.0,0
811,30.0,168.0,63.0,0
812,24.0,167.0,52.0,8
813,19.0,168.0,55.0,3
814,23.0,168.0,55.0,8
815,19.0,190.0,86.0,5
816,23.0,190.0,86.0,1
817,28.0,191.0,110.0,4
818,32.0,191.0,110.0,4
819,17.0,176.0,45.0,3
820,20.0,177.0,82.0,5
821,23.0,184.0,84.0,5
822,27.0,184.0,84.0,2
823,28.0,171.0,62.0,2
824,28.0,171.0,62.0,2
825,32.0,171.0,62.0,0
826,32.0,171.0,62.0,0
827,27.0,172.0,72.0,2
828,31.0,172.0,72.0,2
829,20.0,159.0,55.0,6
830,25.0,166.0,61.0,8
831,18.0,167.0,55.0,3
832,18.0,167.0,55.0,3
