,Age,Height,Weight
604,28.0,180.0,72.0
605,33.0,180.0,72.0
606,24.0,185.0,81.0
607,21.0,193.0,87.0
608,17.0,176.0,82.0
609,21.0,176.0,82.0
610,25.0,176.0,82.0
611,28.0,182.0,95.0
612,17.0,180.0,82.0
613,21.0,180.0,82.0
614,25.0,180.0,82.0
615,22.0,181.0,80.0
616,22.0,181.0,80.0
617,22.0,181.0,80.0
618,26.0,181.0,80.0
619,26.0,181.0,80.0
620,26.0,181.0,80.0
621,16.0,167.0,43.0
622,31.0,175.0,70.0
623,23.0,181.0,84.0
624,27.0,181.0,84.0
625,24.0,180.0,100.0
626,24.0,176.0,70.0
627,24.0,176.0,70.0
628,30.0,164.0,59.0
629,25.0,198.0,89.0
630,34.0,180.0,94.0
631,23.0,173.0,61.0
632,21.0,172.0,63.0
633,21.0,172.0,63.0
634,24.0,171.0,60.0
635,23.0,167.0,65.0
636,23.0,167.0,65.0
637,27.0,167.0,65.0
638,29.0,180.0,72.0
639,29.0,180.0,72.0
640,27.0,182.0,96.0
641,27.0,182.0,96.0
642,19.0,163.0,53.0
643,32.0,180.0,70.0
644,31.0,186.0,115.0
645,20.0,176.0,68.0
646,20.0,176.0,68.0
647,24.0,176.0,68.0
648,28.0,176.0,68.0
649,21.0,183.0,72.0
650,25.0,183.0,72.0
651,26.0,174.0,68.0
652,19.0,187.0,81.0
653,22.0,172.0,70.0
654,26.0,184.0,73.0
655,26.0,184.0,73.0
656,21.0,183.0,84.0
657,21.0,183.0,84.0
658,27.0,183.0,84.0
659,27.0,183.0,84.0
660,31.0,183.0,84.0
661,31.0,183.0,84.0
662,22.0,183.0,73.0
663,20.0,160.0,54.0
664,26.0,185.0,75.0
665,20.0,159.0,64.0
666,20.0,159.0,64.0
667,20.0,159.0,64.0
668,40.0,188.0,73.0
669,18.0,176.0,78.0
670,23.0,200.0,88.0
671,24.0,177.0,71.0
672,15.0,177.0,64.0
673,15.0,177.0,64.0
674,19.0,177.0,64.0
675,19.0,177.0,64.0
676,19.0,177.0,64.0
677,24.0,174.0,68.0
678,34.0,164.0,52.0
679,38.0,164.0,52.0
680,22.0,162.0,50.0
681,23.0,198.0,93.0
682,21.0,180.0,70.0
683,26.0,164.0,51.0
684,20.0,188.0,77.0
685,28.0,188.0,77.0
686,22.0,168.0,68.0
687,23.0,180.0,68.0
688,27.0,180.0,68.0
689,31.0,180.0,68.0
690,35.0,180.0,68.0
691,21.0,168.0,62.0
692,24.0,180.0,59.0
693,31.0,178.0,85.0
694,26.0,178.0,61.0
695,26.0,178.0,61.0
