,Age,Height,Weight,Anomalies
497,29.0,172.0,82.0,1
498,27.0,168.0,60.0,1
499,31.0,168.0,60.0,1
500,24.0,159.0,54.0,1
501,35.0,170.0,68.0,1
502,28.0,159.0,54.0,1
503,32.0,159.0,54.0,1
504,22.0,150.0,43.0,-1
505,26.0,164.0,58.0,1
506,29.0,163.0,48.0,1
507,21.0,175.0,75.0,1
508,22.0,169.0,68.0,1
509,26.0,169.0,68.0,1
510,30.0,169.0,68.0,1
511,19.0,182.0,68.0,1
512,19.0,161.0,62.0,1
513,19.0,161.0,62.0,1
514,19.0,161.0,62.0,1
515,24.0,161.0,62.0,1
516,24.0,161.0,62.0,1
517,24.0,174.0,62.0,1
518,23.0,182.0,78.0,1
519,20.0,176.0,70.0,1
520,17.0,170.0,53.0,1
521,22.0,190.0,78.0,1
522,26.0,175.0,61.0,1
523,26.0,175.0,61.0,1
524,19.0,169.0,60.0,1
525,17.0,166.0,60.0,1
526,17.0,166.0,60.0,1
527,17.0,166.0,60.0,1
528,25.0,168.0,59.0,1
529,30.0,197.0,92.0,1
530,30.0,197.0,92.0,1
531,27.0,210.0,88.0,-1
532,28.0,170.0,64.0,1
533,28.0,170.0,64.0,1
534,32.0,170.0,64.0,1
535,32.0,170.0,64.0,1
536,24.0,175.0,74.0,1
537,25.0,186.0,86.0,1
538,33.0,186.0,86.0,1
539,41.0,186.0,86.0,-1
540,27.0,188.0,85.0,1
541,29.0,205.0,102.0,-1
542,20.0,168.0,54.0,1
543,30.0,181.0,76.0,1
544,30.0,182.0,79.0,1
545,22.0,187.0,82.0,1
546,30.0,187.0,82.0,1
547,21.0,170.0,48.0,-1
548,20.0,171.0,65.0,1
549,21.0,190.0,65.0,1
550,25.0,190.0,65.0,1
551,22.0,170.0,51.0,1
552,23.0,175.0,75.0,1
553,22.0,178.0,67.0,1
554,31.0,180.0,64.0,1
555,28.0,183.0,85.0,1
556,21.0,188.0,87.0,1
557,21.0,188.0,87.0,1
558,25.0,188.0,87.0,1
559,25.0,188.0,87.0,1
560,26.0,178.0,81.0,1
561,33.0,182.0,77.0,1
562,22.0,193.0,78.0,1
563,24.0,174.0,68.0,1
564,25.0,186.0,84.0,1
565,21.0,192.0,88.0,1
566,21.0,192.0,88.0,1
567,25.0,192.0,88.0,1
568,17.0,175.0,64.0,1
569,17.0,175.0,64.0,1
570,21.0,175.0,64.0,1
571,21.0,175.0,64.0,1
572,21.0,175.0,64.0,1
573,19.0,170.0,62.0,1
574,33.0,178.0,61.0,1
575,19.0,167.0,53.0,1
576,19.0,167.0,53.0,1
577,23.0,167.0,53.0,1
578,23.0,167.0,53.0,1
579,27.0,167.0,53.0,1
580,31.0,167.0,53.0,1
581,21.0,180.0,70.0,1
582,25.0,191.0,84.0,1
583,29.0,191.0,84.0,1
584,33.0,191.0,84.0,1
585,29.0,178.0,68.0,1
586,22.0,179.0,72.0,1
587,22.0,179.0,72.0,1
588,23.0,173.0,65.0,1
589,23.0,173.0,65.0,1
590,20.0,183.0,75.0,1
591,20.0,183.0,75.0,1
592,20.0,183.0,75.0,1
593,20.0,183.0,75.0,1
594,24.0,183.0,75.0,1
595,19.0,183.0,87.0,1
596,23.0,183.0,87.0,1
597,26.0,162.0,67.0,1
598,24.0,190.0,88.0,1
599,28.0,190.0,88.0,1
600,24.0,187.0,77.0,1
601,22.0,172.0,61.0,1
602,28.0,180.0,72.0,1
603,28.0,180.0,72.0,1
604,28.0,180.0,72.0,1
605,33.0,180.0,72.0,1
606,24.0,185.0,81.0,1
607,21.0,193.0,87.0,1
608,17.0,176.0,82.0,1
609,21.0,176.0,82.0,1
610,25.0,176.0,82.0,1
611,28.0,182.0,95.0,1
612,17.0,180.0,82.0,1
613,21.0,180.0,82.0,1
614,25.0,180.0,82.0,1
615,22.0,181.0,80.0,1
616,22.0,181.0,80.0,1
617,22.0,181.0,80.0,1
618,26.0,181.0,80.0,1
619,26.0,181.0,80.0,1
620,26.0,181.0,80.0,1
621,16.0,167.0,43.0,-1
622,31.0,175.0,70.0,1
623,23.0,181.0,84.0,1
624,27.0,181.0,84.0,1
625,24.0,180.0,100.0,1
626,24.0,176.0,70.0,1
627,24.0,176.0,70.0,1
628,30.0,164.0,59.0,1
629,25.0,198.0,89.0,1
630,34.0,180.0,94.0,1
631,23.0,173.0,61.0,1
632,21.0,172.0,63.0,1
633,21.0,172.0,63.0,1
634,24.0,171.0,60.0,1
635,23.0,167.0,65.0,1
636,23.0,167.0,65.0,1
637,27.0,167.0,65.0,1
638,29.0,180.0,72.0,1
639,29.0,180.0,72.0,1
640,27.0,182.0,96.0,1
641,27.0,182.0,96.0,1
642,19.0,163.0,53.0,1
643,32.0,180.0,70.0,1
644,31.0,186.0,115.0,-1
645,20.0,176.0,68.0,1
646,20.0,176.0,68.0,1
647,24.0,176.0,68.0,1
648,28.0,176.0,68.0,1
649,21.0,183.0,72.0,1
650,25.0,183.0,72.0,1
651,26.0,174.0,68.0,1
652,19.0,187.0,81.0,1
653,22.0,172.0,70.0,1
654,26.0,184.0,73.0,1
655,26.0,184.0,73.0,1
656,21.0,183.0,84.0,1
657,21.0,183.0,84.0,1
658,27.0,183.0,84.0,1
659,27.0,183.0,84.0,1
660,31.0,183.0,84.0,1
661,31.0,183.0,84.0,1
662,22.0,183.0,73.0,1
663,20.0,160.0,54.0,1
664,26.0,185.0,75.0,1
665,20.0,159.0,64.0,1
666,20.0,159.0,64.0,1
667,20.0,159.0,64.0,1
668,40.0,188.0,73.0,-1
669,18.0,176.0,78.0,1
670,23.0,200.0,88.0,1
671,24.0,177.0,71.0,1
672,15.0,177.0,64.0,-1
673,15.0,177.0,64.0,-1
674,19.0,177.0,64.0,1
675,19.0,177.0,64.0,1
676,19.0,177.0,64.0,1
677,24.0,174.0,68.0,1
678,34.0,164.0,52.0,1
679,38.0,164.0,52.0,-1
680,22.0,162.0,50.0,1
681,23.0,198.0,93.0,1
682,21.0,180.0,70.0,1
683,26.0,164.0,51.0,1
684,20.0,188.0,77.0,1
685,28.0,188.0,77.0,1
686,22.0,168.0,68.0,1
687,23.0,180.0,68.0,1
688,27.0,180.0,68.0,1
689,31.0,180.0,68.0,1
690,35.0,180.0,68.0,1
691,21.0,168.0,62.0,1
692,24.0,180.0,59.0,1
693,31.0,178.0,85.0,1
694,26.0,178.0,61.0,1
695,26.0,178.0,61.0,1
