,index,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Age,Height,Weight
27126,246231,123298,,M,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold,25.0,187.0,84.0
27127,246232,123298,,M,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,25.0,187.0,84.0
27128,246233,123299,,M,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,20.0,182.0,79.0
27129,246236,123301,,M,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,32.0,163.0,73.0
27130,246237,123301,,M,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,35.0,163.0,73.0
27131,246272,123316,,M,Thailand,THA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,Silver,24.0,167.0,63.0
27132,246275,123319,,M,Spain,ESP,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Silver,23.0,190.0,90.0
27133,246282,123325,,F,Spain,ESP,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze,35.0,176.0,72.0
27134,246291,123330,,M,New York Athletic Club,USA,1904 Summer,1904,Summer,St. Louis,Athletics,"Athletics Men's 4 mile, Team",Gold,19.0,176.0,74.0
27135,246293,123332,,M,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,Silver,21.0,201.0,95.0
27136,246294,123332,,M,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Silver,25.0,201.0,95.0
27137,246312,123344,,M,East Germany,GDR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,21.0,186.0,80.0
27138,246314,123344,,M,East Germany,GDR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,21.0,186.0,80.0
27139,246323,123349,,M,Germany,GER,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,Bronze,33.0,172.0,71.0
27140,246329,123353,,F,Romania,ROU,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Silver,15.0,150.0,44.0
27141,246332,123353,,F,Romania,ROU,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Uneven Bars,Silver,15.0,150.0,44.0
27142,246333,123353,,F,Romania,ROU,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Balance Beam,Bronze,15.0,150.0,44.0
27143,246337,123355,,M,Hungary,HUN,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,Silver,31.0,176.0,76.0
27144,246340,123357,,F,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,Silver,28.0,180.0,68.0
27145,246346,123361,,F,Great Britain,GBR,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Bronze,24.0,157.0,55.0
27146,246347,123361,,F,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold,28.0,157.0,55.0
27147,246356,123367,,M,East Germany,GDR,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,22.0,180.0,68.0
27148,246358,123367,,M,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,30.0,180.0,68.0
27149,246373,123373,,M,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Bronze,22.0,162.0,61.0
27150,246376,123373,,M,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,Bronze,26.0,162.0,61.0
27151,246401,123381,,F,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold,21.0,173.0,60.0
27152,246402,123381,,F,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,21.0,173.0,60.0
27153,246403,123381,,F,Germany,GER,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold,25.0,173.0,60.0
27154,246404,123381,,F,Germany,GER,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,25.0,173.0,60.0
27155,246413,123386,,F,Canada-2,CAN,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Women's Two,Silver,30.0,175.0,73.0
27156,246456,123406,,M,Colombia,COL,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Road Race, Individual",Silver,25.0,171.0,53.0
27157,246460,123407,,M,Mongolia,MGL,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,Bronze,30.0,174.0,64.0
27158,246485,123421,,M,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,Silver,30.0,175.0,74.0
27159,246510,123431,,M,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,Bronze,24.0,188.0,89.0
27160,246517,123434,,M,Germany,GER,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,Bronze,24.0,174.0,74.0
27161,246529,123440,,F,Canada,CAN,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Bronze,28.0,178.0,69.0
27162,246545,123448,,F,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Silver,19.0,166.0,59.0
27163,246583,123464,,M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Bronze,28.0,197.0,99.0
27164,246584,123464,,M,Spain,ESP,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,Bronze,32.0,197.0,99.0
27165,246588,123466,,M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Bronze,27.0,179.0,83.0
27166,246589,123466,,M,Spain,ESP,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,Bronze,31.0,179.0,83.0
27167,246590,123467,,M,Uruguay,URU,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Gold,24.0,170.0,68.0
27168,246591,123467,,M,Uruguay,URU,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,Gold,28.0,170.0,68.0
